ID	GSM1310656	GSM1310661	GSM1310664	GSM1310667	GSM1310668	GSM1310674	GSM1310684	GSM1310686	GSM1310693	GSM1310695	GSM1310696	GSM1310697	GSM1310699	GSM1310702	GSM1310704	GSM1310708	GSM1310718	GSM1310722	GSM1310725	GSM1310729	GSM1310574	GSM1310581	GSM1310583	GSM1310589	GSM1310601	GSM1310603	GSM1310607	GSM1310609	GSM1310610	GSM1310611	GSM1310613	GSM1310617	GSM1310619	GSM1310620	GSM1310627	GSM1310628	GSM1310641	GSM1310643	GSM1310644	GSM1310645	GSM1310650
1/2-SBSRNA4	6.23	5.345	5.824	5.323	5.16	5.892	5.363	5.928	6.203	5.238	5.553	5.088	5.08	5.109	5.12	5.384	5.444	4.805	5.069	4.4	5.415	6.61	5.977	5.562	5.577	5.996	5.438	5.927	5.707	4.723	5.855	4.84	5.227	5.086	4.29	5.684	5.143	5.339	5.088	5.321	5.485
A1BG	6.841	8.796	9.657	7.28	6.717	6.46	7.239	8.462	7.779	8.988	7.232	7.671	8.265	7.775	8.456	7.874	8.072	4.602	8.177	7.699	6.108	6.015	6.636	4.783	5.957	6.36	7.205	6.474	8.083	8.021	2.455	8.172	8.583	8.418	7.851	6.257	7.484	6.776	5.331	7.555	7.137
A1BG-AS1	4.588	4.681	3.488	6.185	6.703	6.751	5.814	6.338	4.767	6.565	7.142	6.311	6.278	6.02	5.893	6.313	5.76	5.073	5.969	6.178	6.344	3.221	5.621	5.706	4.04	5.141	6.206	6.507	5.06	6.138	7.596	5.9	6.022	5.672	6.25	5.73	5.375	4.844	6.173	6.132	6.526
A1CF	12.095	12.4285	12.107	11.394	11.3075	11.7265	12.677	11.5325	11.9515	11.3505	10.845	11.968	12.1705	12.6385	11.6995	12.232	12.081	11.8145	11.9645	11.684	11.569	13.2085	10.99	12.3445	12.3855	11.887	12.663	10.598	12.2475	11.819	7.0175	11.817	10.9395	11.399	11.72	12.1415	11.197	11.93	11.434	10.9955	10.5
A2LD1	8.474	7.116	8.488	8.248	8.107	7.75	9.711	9.242	9.989	7.21	9.12	8.377	8.879	8.868	9.099	8.615	8.921	9.262	8.398	9.08	8.37	10.565	7.068	9.02	8.305	9.449	9.684	9.385	9.379	9.044	7.598	8.794	7.806	9.132	8.33	9.051	9.666	7.542	8.046	9.117	9.641
A2M	17.318	17.549	17.85	17.91	17.609	17.494	17.567	17.253	14.154	17.207	16.726	17.74	17.402	17.984	17.984	18.077	17.374	16.577	17.88	17.944	17.265	13.996	17.276	17.74	16.217	14.606	17.668	16.212	17.085	17.345	15.102	15.749	16.809	17.609	17.765	15.096	14.968	16.75	16.458	17.567	15.927
A2ML1	8.951	9.706	9.028	8.626	8.362	8.693	6.634	7.441	8.586	7.011	8.036	7.838	7.691	7.816	8.373	7.167	8.221	7.567	7.368	7.604	9.141	9.354	8.546	8.162	7.362	6.605	7.283	8.644	8.896	7.841	7.873	7.456	7.416	7.672	6.977	7.612	8.263	7.523	7.602	7.726	8.051
A4GALT	4.861	5.047	5.33	6.031	6.354	5.747	5.813	5.621	5.734	7.524	6.832	6.162	6.346	5.595	5.556	5.792	5.52	7.519	5.33	5.818	6.052	4.774	7.772	6.258	5.161	5.579	5.362	6.915	5.017	5.514	7.229	6.68	7.157	6.642	5.495	5.082	6.093	5.374	8.482	5.445	6.25
A4GNT	4.529	3.986	2.317	3.228	3.407	4.86	2.662	3.842	2.587	2.868	4.218	3.06	4.138	1.817	4.21	1.824	1.97	2.186	3.978	3.488	4.068	4.964	2.02	4.079	2.919	1.899	1.981	2.252	2.095	2.391	4.531	2.693	2.543	1.695	1.796	1.58	2.479	1.763	1.656	2.237	2.212
AAAS	8.903	8.274	9.352	8.743	8.844	9.338	9.585	9.749	9.632	9.113	9.17	9.136	8.962	9.004	8.768	8.955	9.422	9.296	9.33	9.043	8.725	8.812	8.869	8.869	9.662	10.293	9.49	8.744	8.988	9.8	8.87	9.467	9.348	9.38	9.148	8.832	9.45	8.737	8.598	9.388	9.535
