ID	GSM1310655	GSM1310658	GSM1310659	GSM1310666	GSM1310669	GSM1310671	GSM1310676	GSM1310678	GSM1310680	GSM1310681	GSM1310682	GSM1310687	GSM1310698	GSM1310700	GSM1310707	GSM1310709	GSM1310711	GSM1310717	GSM1310723	GSM1310724	GSM1310573	GSM1310577	GSM1310579	GSM1310584	GSM1310586	GSM1310587	GSM1310588	GSM1310599	GSM1310605	GSM1310606	GSM1310608	GSM1310615	GSM1310616	GSM1310629	GSM1310632	GSM1310635	GSM1310636	GSM1310639	GSM1310640	GSM1310642
1/2-SBSRNA4	5.557	6.469	5.936	4.87	5.078	5.378	5.421	5.45	5.878	5.239	5.406	5.6	5.184	5.458	5.197	5.036	3.406	5.206	5.213	4.725	5.874	5.22	6.894	5.266	4.862	5.762	5.283	4.994	5.03	5.333	5.024	5.106	5.354	2.797	5.139	4.751	4.936	5.63	4.68	4.814
A1BG	6.983	9.395	5.92	8.236	7.317	9.309	7.413	5.382	7.224	7.854	6.622	7.294	6.659	8.528	7.897	8.442	7.908	7.662	7.895	7.652	7.18	8.803	9.001	7.725	3.517	4.741	6.587	4.906	7.859	8.733	7.492	9.804	6.361	7.572	9.026	8.696	6.656	6.748	7.4	3.47
A1BG-AS1	5.558	4.425	6.833	6.541	6.366	4.449	5.8	7.064	6.011	6.456	6.422	6.329	7.395	5.657	6.654	6.198	6.621	6.419	6.423	6.719	3.085	4.059	5.203	6.138	6.072	6.764	6.152	5.656	5.89	5.619	6.411	5.276	6.19	6.714	5.449	3.61	7.021	3.969	6.088	6.106
A1CF	12.074	12.264	12.667	11.635	12.453	12.432	11.8185	11.1105	12.5375	12.5105	12.5335	12.8555	11.527	12.3795	11.2845	11.9475	11.8495	11.8015	11.8295	11.5655	11.619	13.334	11.834	11.0605	8.047	9.192	12.0195	11.3025	11.5105	11.8315	12.364	12.2525	11.7435	10.375	12.2595	11.127	11.208	11.84	11.7905	11.489
A2LD1	8.735	9.082	7.051	8.909	8.547	8.844	8.336	7.526	9.079	8.506	9.313	9.856	7.163	8.99	8.705	8.09	8.224	8.234	8.061	8.14	8.748	7.997	8.182	8.411	7.268	8.885	8.277	8.996	10.254	9.017	8.075	7.354	8.91	9.403	8.748	7.932	7.822	9.512	8.763	9.357
A2M	17.242	17.388	17.494	17.69	17.88	17.69	17.627	17.374	16.988	17.609	17.74	17.714	17.793	17.82	17.944	17.74	17.549	17.567	17.85	17.793	15.898	17.69	16.741	16.263	16.759	15.014	17.648	15.281	16.924	17.88	17.075	17.231	17.231	16.313	17.119	17.184	18.029	13.418	17.793	15.312
A2ML1	9.094	9.76	9.378	7.62	8.938	8.593	8.73	8.669	7.603	7.281	7.231	6.901	7.405	8.153	7.078	7.666	7.38	8.128	7.921	7.696	9.055	9.347	10.414	8.283	7.943	9.7	8.656	6.665	7.641	8.399	6.726	7.739	7.706	8.944	7.8	7.2	7.069	7.552	7.544	7.195
A4GALT	4.749	5.023	5.616	6.359	5.708	4.68	5.462	6.87	5.506	5.673	5.79	5.353	6.752	5.766	6.01	5.391	8.16	5.85	5.712	6.105	5.668	4.963	4.389	6.709	8.412	6.47	5.711	6.208	6.281	5.547	6.541	5.781	6.949	7.057	5.477	6.131	6.397	5.455	6.304	8.542
A4GNT	5.167	4.982	3.253	3.655	2.612	2.295	2.809	1.993	2.386	3.295	1.538	2.736	2.196	2.369	1.409	2.864	4.452	4.278	1.986	1.878	3.903	3.476	4.259	2.027	2.166	4.42	2.528	2.031	1.856	1.737	3.473	1.938	1.52	4.247	2.775	2.346	4.747	1.945	2.484	1.624
AAAS	8.778	9.231	8.632	9.197	8.492	9.191	9.195	9.083	9.51	9.53	9.348	9.63	9.091	9.128	9.137	9.037	9.008	9.096	9.227	9.352	8.872	8.746	9.235	9.425	9.236	8.941	8.6	10.259	9.541	8.664	9.9	9.533	9.232	9.038	9.27	9.846	9.2	9.988	9.077	9.358
AACS	8.353	8.794	8.412	8.18	8.499	8.228	8.642	9.001	8.233	9.006	8.457	8.697	8.654	8.242	8.78	7.494	9.428	8.764	8.711	9.091	8.801	8.442	8.869	8.787	9.603	8.964	8.777	10.348	7.663	8.461	8.395	9.015	8.281	7.726	8.058	8.735	8.708	9.374	8.286	9.164
AADAC	14.823	14.302	13.712	13.732	14.959	14.409	14.587	13.736	13.776	14.195	13.739	14.306	13.723	13.738	13.878	14.644	14.073	13.777	14.411	13.533	13.824	14.403	13.561	13.217	10.18	11.788	13.727	12.506	13.208	14.206	14.21	13.786	13.207	13.341	14.097	13.673	13.7	13.747	14.338	13.612
AADACL2	1.169	1.555	1.216	1.219	1.285	1.274	1.218	1.223	1.273	1.253	1.248	1.356	1.253	1.242	1.383	1.432	1.269	1.196	1.245	1.274	1.21	1.331	1.221	1.249	1.312	1.255	1.249	1.242	1.262	1.233	1.271	1.317	1.226	1.347	1.235	1.475	1.397	1.274	1.263	1.26
