ID	GSM1310652	GSM1310653	GSM1310660	GSM1310665	GSM1310670	GSM1310672	GSM1310679	GSM1310690	GSM1310691	GSM1310692	GSM1310694	GSM1310701	GSM1310703	GSM1310705	GSM1310712	GSM1310715	GSM1310719	GSM1310720	GSM1310727	GSM1310730	GSM1310571	GSM1310572	GSM1310578	GSM1310580	GSM1310585	GSM1310590	GSM1310591	GSM1310592	GSM1310593	GSM1310594	GSM1310598	GSM1310600	GSM1310604	GSM1310614	GSM1310618	GSM1310622	GSM1310633	GSM1310634	GSM1310647	GSM1310648
1/2-SBSRNA4	6.021	5.873	6.106	4.904	4.927	5.153	5.498	5.152	4.615	5.301	5.55	5.747	5.253	6.049	5.373	5.593	5.032	4.525	5.597	5.639	6.261	5.844	6.09	5.788	5.068	5.047	6.054	6.206	5.769	6.289	5.686	6.117	5.651	5.293	4.632	5.032	4.784	5.145	5.781	5.189
A1BG	6.238	7.815	8.812	8.118	7.07	8.189	6.233	8.058	8.177	7.61	7.164	7.515	8.192	7.879	7.48	9.534	7.96	7.704	8.05	7.935	6.798	4.524	8.811	6.938	7.701	8.024	5.667	6.168	6.516	7.058	6.768	5.914	7.48	1.781	7.054	6.622	5.782	8.435	7.878	7.394
A1BG-AS1	5.907	4.704	4.014	6.244	6.148	5.854	6.59	5.451	6.257	5.432	6.882	5.197	5.988	5.646	6.736	5.177	6.124	7.183	5.459	6.259	5.041	6.148	4.933	3.424	6.588	4.622	2.878	5.114	6.563	4.716	5.214	5.459	5.706	6.284	8.664	5.5	5.957	5.874	4.601	5.82
A1CF	11.847	12.5255	12.728	11.528	12.206	12.005	11.4365	12.3445	12.0715	12.0515	11.148	11.2345	11.9265	11.5825	11.6735	11.6895	11.816	11.495	11.613	11.7995	11.748	11.1905	13.095	12.311	11.158	12.407	11.4585	12.594	11.208	12.2725	11.758	11.929	11.908	8.7265	11.681	12.055	9.9825	12.109	11.9805	11.3995
A2LD1	7.818	8.856	7.807	9.181	8.188	7.872	8.021	9.085	8.838	8.095	8.719	10.8	8.162	10.081	9.342	8.087	8.444	8.196	9.872	8.713	9.633	7.67	8.082	8.496	8.219	9.25	9.019	7.526	6.999	9.225	8.494	8.771	10.358	9.199	7.933	9.375	8.186	9.169	8.066	9.778
A2M	17.477	16.962	17.85	17.531	17.85	17.85	17.037	17.374	17.984	17.793	17.151	16.988	17.82	17.74	17.587	17.85	17.88	17.793	17.511	17.648	16.726	16.072	15.952	17.374	16.563	17.242	17.055	14.788	17.026	15.604	17.402	16.451	16.952	15.854	17.648	17.026	16.904	17.984	13.139	16.741
A2ML1	9.394	9.589	9.755	8.76	7.878	8.252	7.071	8.757	7.356	8.447	8.148	9.08	7.557	9.736	8.228	7.508	7.919	7.861	8.218	7.724	9.408	9.003	9.425	8.913	7.275	8.834	8.509	8.874	8.9	8.886	8.754	6.544	7.134	7.776	7.491	7.395	6.854	7.743	7.478	7.083
A4GALT	5.064	5.476	4.836	6.014	5.987	5.889	6.636	5.137	5.574	5.379	6.451	6.483	6.141	5.619	6.255	6.05	5.719	6.703	5.086	5.681	6.236	7.43	6.13	6.648	7.083	5.407	4.703	5.198	6.297	5.725	5.919	6.71	6.381	6.27	6.657	5.874	5.861	5.972	5.75	5.699
A4GNT	5.147	4.997	3.919	4.04	3.142	2.768	3.49	2.718	2.211	4.031	2.484	2.584	2.102	4.076	2.769	2.729	1.75	1.911	2.281	2.736	4.294	3.593	3.027	4.292	2.084	3.904	2.588	4.059	4.042	1.959	2.612	1.669	2.108	2.022	1.799	1.898	1.255	1.808	2.792	1.916
AAAS	8.631	8.862	8.663	8.993	8.763	8.922	9.593	8.997	9.43	8.819	9.05	9.712	9.023	9.531	9.209	8.917	9.195	9.146	9.49	9.359	9.238	9.312	8.735	8.785	9.699	9.087	9.619	9.58	9.277	9.771	9.441	9.609	9.746	8.793	9.13	9.138	8.977	9.186	9.829	9.411
AACS	8.967	7.91	8.694	8.603	8.682	8.54	9.399	8.415	8.631	8.616	8.162	8.012	7.923	8.31	7.677	8.617	8.584	8.505	8.039	8.67	8.855	8.685	8.643	8.805	8.561	9.629	9.775	8.822	8.749	8.634	9	8.954	8.096	10.466	8.14	7.998	9.347	8.26	9.851	8.604
AADAC	13.933	14.227	14.238	14.073	14.386	14.217	13.479	14.193	13.705	14.597	13.914	13.226	15.047	13.96	13.735	13.799	14.434	14.017	13.621	13.952	13.543	12.759	14.191	13.983	12.834	13.238	14.26	15.255	13.307	14.606	14.199	12.975	13.582	6.894	14.646	13.747	12.833	14.195	13.639	13.878
AADACL2	1.232	1.208	1.534	1.235	1.212	1.213	1.216	1.275	1.224	1.257	1.292	1.217	1.238	1.71	1.324	1.561	1.27	1.259	1.266	1.336	1.196	1.232	1.224	1.2	1.228	1.216	1.208	1.242	1.224	1.233	1.286	1.378	1.209	1.327	1.223	1.24	1.318	1.276	1.265	1.248
AADAT	9.471	10.435	9.736	10.147	9.834	9.796	8.944	10.481	9.903	9.881	9.612	10.517	10.68	10.567	10.327	7.648	9.226	8.461	10.97	10.662	7.825	7.564	9.916	7.311	8.215	8.659	6.289	7.237	8.883	9.458	7.039	8.851	9.139	7.515	9.986	8.885	8.588	10.238	8.249	9.2
AAGAB	11.091	11.032	10.68	10.704	10.612	10.723	11.202	10.47	10.703	10.437	10.797	10.619	10.933	10.609	10.5	10.369	10.661	10.645	10.741	10.862	11.573	11.661	10.917	10.991	11.05	10.944	10.954	10.797	10.989	10.647	10.985	11.244	11.237	10.834	10.881	10.71	11.084	10.713	10.924	11.139
AAK1	4.95533333333333	4.66766666666667	4.46733333333333	4.04833333333333	4.53866666666667	4.379	3.81033333333333	4.35233333333333	4.07633333333333	4.59466666666667	4.33	3.15	3.79333333333333	3.86	4.18533333333333	4.796	4.58766666666667	4.59066666666667	3.57533333333333	4.03233333333333	4.29666666666667	4.52766666666667	4.91766666666667	4.931	4.40166666666667	4.347	4.03433333333333	5.02566666666667	5.00266666666667	5.02166666666667	5.39666666666667	3.89733333333333	4.239	4.77066666666667	3.84833333333333	4.185	3.87033333333333	4.07133333333333	5.23933333333333	3.804
AAMP	10.28	10.696	10.949	11.172	11.048	11.206	11.106	10.922	11.26	10.792	10.999	10.936	10.934	11.639	11.026	10.993	11.104	11.003	11.343	11.294	9.936	10.963	10.363	10.635	11.07	11.276	11.457	11.199	10.807	11.271	11.517	10.587	11.356	11.207	11.134	11.168	10.268	11.524	11.49	11.184
AANAT	8.777	9.052	9.389	7.747	7.362	7.637	8.045	9.211	6.889	9.428	8	8.2	7.07	8	7.185	6.997	7.256	7.147	7.365	7.051	8.933	8.591	9.065	9.129	7.079	8.274	8.033	8.376	8.118	8.307	8.099	7.466	7.933	7.727	7.154	7.081	6.54	6.771	7.008	6.795
AARS	9.153	9.276	10.045	9.729	9.597	9.703	9.621	9.672	10.178	9.527	8.86	8.613	9.186	9.717	8.839	9.311	9.888	9.772	9.137	9.857	8.287	10.088	9.375	10.534	9.457	10.489	9.35	9.93	9.259	9.862	10.518	10.041	9.805	9.307	9.424	9.58	9.783	10.078	11.183	9.629
AARS2	8.625	8.855	9.669	9.42	9.862	9.665	9.569	9.904	9.702	9.781	9.479	8.907	9.592	9.306	9.201	9.63	9.803	9.357	9.179	9.684	9.367	9.336	9.571	10.433	9.452	9.681	9.683	10.205	9.865	10.057	10.001	11.239	10.067	9.469	9.37	10.285	10.293	9.821	10.401	9.838
AARSD1	9.051	9.32	8.908	9.597	9.285	9.345	8.679	9.065	9.866	9.302	9.346	9.507	9.445	9.876	9.52	9.565	9.788	9.926	9.743	9.348	9.566	9.08	8.581	9.869	10.011	9.867	9.891	9.681	9.322	9.608	9.499	9.798	8.779	9.983	9.45	10.197	10.63	9.73	9.917	10.005
AASDH	5.33733333333333	5.44333333333333	5.24733333333333	5.36066666666667	5.19433333333333	5.172	5.02766666666667	5.55566666666667	5.34366666666667	5.42833333333333	5.476	5.502	5.61266666666667	5.70233333333333	5.63233333333333	5.419	5.39	5.375	5.78366666666667	5.61	5.41333333333333	5.434	5.459	5.31333333333333	5.533	4.824	4.73333333333333	5.60666666666667	4.843	5.53233333333333	5.375	4.978	5.277	4.93533333333333	5.636	5.51733333333333	5.207	5.27466666666667	5.89333333333333	5.47166666666667
AASDHPPT	9.952	9.76366666666667	9.62833333333333	9.68733333333333	9.842	9.90933333333333	9.645	9.81833333333333	9.73233333333333	9.95166666666667	9.78766666666667	9.92066666666667	10.1386666666667	9.837	9.676	9.59233333333333	9.71733333333333	9.462	9.75733333333333	9.76666666666667	9.66566666666667	9.77666666666667	9.99366666666667	9.83166666666667	9.90166666666667	10.0196666666667	10.206	9.82433333333333	9.42633333333333	9.79766666666667	9.82933333333333	9.493	9.51133333333333	9.51966666666667	10.1586666666667	9.3	9.62133333333333	9.84	10.4226666666667	9.68833333333333
AASS	8.802	10.071	9.791	8.383	8.752	8.369	8.578	9.384	9.401	9.377	8.225	9.05	8.829	9.108	8.466	8.154	7.971	9.016	9.843	9.31	8.113	8.744	10.311	7.614	9.474	8.763	6.782	9.389	8.319	9.96	8.884	7.366	7.967	6.925	10.556	10.195	8.186	9.547	10.79	9.372
AATF	9.728	9.687	10.0545	10.0465	9.95	9.965	10.4925	10.0265	10.3195	9.9645	10.153	9.794	9.9335	10.322	10.043	10.359	10.3395	10.2265	9.9955	10.126	9.7755	10.401	9.799	10.4365	10.7145	10.657	10.8675	10.106	9.945	10.62	10.1875	10.9455	9.827	11.0065	10.0445	11.247	11.399	10.6075	10.729	10.674
AATK	6.224	6.938	7.09366666666667	6.40466666666667	5.87833333333333	6.94366666666667	6.011	6.10533333333333	6.29666666666667	7.176	5.572	6.44633333333333	6.56266666666667	6.49333333333333	6.58066666666667	6.088	6.42033333333333	6.799	6.003	5.59466666666667	5.933	7.209	6.413	6.28166666666667	5.82333333333333	6.092	5.23566666666667	5.88766666666667	6.61766666666667	6.076	6.03366666666667	5.98733333333333	5.80333333333333	5.89333333333333	6.36266666666667	5.56133333333333	6.31966666666667	5.50433333333333	5.83333333333333	5.78233333333333
ABAT	10.198	11.119	11.107	10.853	9.999	10.068	10.28	10.865	11.069	10.094	10.605	10.913	9.806	11.167	9.998	10.109	10.89	10.67	11.334	10.762	9.949	10.416	9.955	9.455	10.039	10.994	8.854	9.881	9.862	10.644	10.954	9.776	9.96	5.661	10.119	10.454	8.724	10.68	9.828	9.699
