ID	GSM1310651	GSM1310654	GSM1310657	GSM1310662	GSM1310663	GSM1310673	GSM1310675	GSM1310677	GSM1310683	GSM1310685	GSM1310688	GSM1310689	GSM1310706	GSM1310710	GSM1310713	GSM1310714	GSM1310716	GSM1310721	GSM1310726	GSM1310728	GSM1310570	GSM1310575	GSM1310576	GSM1310582	GSM1310595	GSM1310596	GSM1310597	GSM1310602	GSM1310612	GSM1310621	GSM1310623	GSM1310624	GSM1310625	GSM1310626	GSM1310630	GSM1310631	GSM1310637	GSM1310638	GSM1310646	GSM1310649
1/2-SBSRNA4	6.283	6.183	5.156	6.732	6.066	6.026	6.038	5.513	6.182	4.57	5.408	5.695	5.137	4.499	3.814	4.103	5.035	4.987	5.734	5.032	6.007	5.939	5.539	5.832	5.953	5.046	5.705	4.825	5.373	5.553	6.15	5.61	5.406	5.405	4.834	5.267	4.572	4.893	5.469	4.856
A1BG	6.985	8.793	7.237	6.825	7.159	6.492	7.241	7.301	6.619	7.396	7.294	6.871	7.615	8.298	8.07	8.555	6.616	7.875	7.937	8.155	7.136	5.303	5.744	7.091	6.092	4.861	8.429	7.095	6.078	6.7	6.467	6.23	4.923	6.745	8.157	8.447	7.106	7.738	7.062	7.598
A1BG-AS1	6.052	4.126	4.184	3.859	2.52	5.118	6.225	5.226	6.358	6.162	6.756	6.244	8.119	6.513	6.392	6.072	6.577	5.963	5.745	6.179	5.248	5.224	3.195	4.17	5.741	6.045	5.075	6.403	5.885	6.063	5.761	6.185	5.751	7.833	6.348	6.493	6.356	5.603	5.995	5.584
A1CF	11.9665	11.297	12.423	13.7415	12.557	12.685	11.741	13.0485	11.265	12.2755	11.841	11.107	12.3495	11.3505	11.4485	12.2215	10.839	11.698	12.3875	11.962	11.7145	11.4855	11.965	12.445	11.672	10.489	12.863	12.0715	11.317	11.2065	11.577	11.088	11.6245	10.745	11.367	11.7285	12.163	12.493	11.618	12.3855
A2LD1	8.641	8.137	9.507	8.941	7.197	7.79	8.435	10.583	9.491	9.596	8.688	8.992	9.849	9.006	8.157	8.963	8.458	9.017	9.957	9.282	8.962	8.544	6.035	7.71	8.311	7.162	8.421	8.606	9.443	9.9	10.189	8.258	9.14	10.16	8.632	8.55	8.968	9.223	10.198	9.302
A2M	17.415	17.567	17.276	15.957	17.648	15.732	17.714	16.362	15.802	17.69	17.085	16.759	17.91	17.74	17.74	17.648	17.627	17.429	17.531	17.69	16.895	17.276	17.984	17.765	13.751	17.276	17.447	17.567	17.388	16.833	15.568	17.85	17.462	16.478	17.74	17.88	16.097	17.511	16.833	17.194
A2ML1	8.957	8.89	8.947	9.917	9.624	8.663	8.735	8.994	9.694	7.381	7.429	7.999	8.975	7.278	7.195	7.614	7.229	8.102	7.646	7.337	8.792	8.709	8.546	9.319	9.019	8.131	8.9	6.903	8.359	7.967	7.379	7.442	8.729	9.968	7.407	7.442	8.09	8.358	7.296	7.617
A4GALT	4.635	5.805	4.041	5.057	7.16	5.424	6.091	5.455	5.769	5.98	6.233	6.383	6.125	5.889	5.896	5.907	6.943	5.845	5.645	5.796	4.333	5.952	5.596	4.402	5.329	6.587	5.937	6.509	6.431	6.292	7.347	6.864	4.512	6.201	6.141	6.128	6.113	5.424	5.588	5.194
A4GNT	3.676	3.85	5.393	5.44	1.968	3.321	4.187	1.712	3.527	3.017	2.531	2.422	1.64	3.065	3.054	2.229	3.116	3.34	3.39	1.402	3.306	4.3	3.918	4.344	3.355	3.042	2.273	3.556	3.882	2.122	2.129	2.264	1.921	2.844	2.801	2.809	1.55	1.444	2.578	2.927
AAAS	8.662	8.616	8.961	8.977	10.091	9.68	9.068	9.362	8.798	9.393	9.363	8.865	9.216	9.291	9.025	9.241	9.112	9.234	9.31	9.373	8.695	8.779	8.823	8.825	9.469	9.024	9.595	9.41	8.982	9.311	8.877	8.864	9.422	9.504	9.281	8.995	9.567	9.288	9.259	8.984
AACS	8.441	8.768	7.946	8.342	8.846	8.739	9.038	7.97	7.85	8.032	8.645	8.754	8.502	8.515	8.381	8.179	8.906	8.478	7.859	8.471	8.999	9.051	10.054	8.645	9.538	10.078	9.697	8.73	8.725	8.2	8.931	8.364	10.097	8.227	8.288	9.558	8.877	8.993	8.424	9.041
