"","real_label","predict_result"
"1","negative","negative"
"2","negative","negative"
"3","negative","negative"
"4","negative","negative"
"5","negative","negative"
"6","negative","negative"
"7","negative","negative"
"8","negative","negative"
"9","negative","negative"
"10","negative","negative"
"11","negative","positive"
"12","negative","negative"
"13","negative","negative"
"14","negative","negative"
"15","negative","negative"
"16","negative","negative"
"17","negative","negative"
"18","negative","positive"
"19","negative","negative"
"20","negative","negative"
"21","positive","positive"
"22","positive","positive"
"23","positive","positive"
"24","positive","positive"
"25","positive","positive"
"26","positive","positive"
"27","positive","negative"
"28","positive","positive"
"29","positive","positive"
"30","positive","positive"
"31","positive","positive"
"32","positive","positive"
"33","positive","positive"
"34","positive","positive"
"35","positive","positive"
"36","positive","positive"
"37","positive","positive"
"38","positive","positive"
"39","positive","positive"
"40","positive","negative"
"41","positive","positive"
