"","real_label","predict_result"
"GSM1310656","negative","negative"
"GSM1310661","negative","negative"
"GSM1310664","negative","negative"
"GSM1310667","negative","negative"
"GSM1310668","negative","negative"
"GSM1310674","negative","negative"
"GSM1310684","negative","negative"
"GSM1310686","negative","negative"
"GSM1310693","negative","negative"
"GSM1310695","negative","negative"
"GSM1310696","negative","negative"
"GSM1310697","negative","negative"
"GSM1310699","negative","negative"
"GSM1310702","negative","negative"
"GSM1310704","negative","negative"
"GSM1310708","negative","negative"
"GSM1310718","negative","negative"
"GSM1310722","negative","positive"
"GSM1310725","negative","negative"
"GSM1310729","negative","negative"
"GSM1310574","positive","positive"
"GSM1310581","positive","positive"
"GSM1310583","positive","positive"
"GSM1310589","positive","positive"
"GSM1310601","positive","positive"
"GSM1310603","positive","positive"
"GSM1310607","positive","negative"
"GSM1310609","positive","positive"
"GSM1310610","positive","positive"
"GSM1310611","positive","positive"
"GSM1310613","positive","positive"
"GSM1310617","positive","positive"
"GSM1310619","positive","positive"
"GSM1310620","positive","positive"
"GSM1310627","positive","positive"
"GSM1310628","positive","positive"
"GSM1310641","positive","positive"
"GSM1310643","positive","positive"
"GSM1310644","positive","positive"
"GSM1310645","positive","negative"
"GSM1310650","positive","positive"
