"","real_label","predict_result"
"GSM1310655","negative","negative"
"GSM1310658","negative","negative"
"GSM1310659","negative","negative"
"GSM1310666","negative","negative"
"GSM1310669","negative","negative"
"GSM1310671","negative","negative"
"GSM1310676","negative","negative"
"GSM1310678","negative","negative"
"GSM1310680","negative","negative"
"GSM1310681","negative","negative"
"GSM1310682","negative","negative"
"GSM1310687","negative","negative"
"GSM1310698","negative","negative"
"GSM1310700","negative","negative"
"GSM1310707","negative","negative"
"GSM1310709","negative","negative"
"GSM1310711","negative","negative"
"GSM1310717","negative","negative"
"GSM1310723","negative","negative"
"GSM1310724","negative","negative"
"GSM1310573","positive","positive"
"GSM1310577","positive","negative"
"GSM1310579","positive","negative"
"GSM1310584","positive","positive"
"GSM1310586","positive","positive"
"GSM1310587","positive","positive"
"GSM1310588","positive","positive"
"GSM1310599","positive","positive"
"GSM1310605","positive","positive"
"GSM1310606","positive","negative"
"GSM1310608","positive","positive"
"GSM1310615","positive","positive"
"GSM1310616","positive","positive"
"GSM1310629","positive","negative"
"GSM1310632","positive","positive"
"GSM1310635","positive","positive"
"GSM1310636","positive","negative"
"GSM1310639","positive","positive"
"GSM1310640","positive","positive"
"GSM1310642","positive","positive"
