"","real_label","predict_result"
"GSM1310652","negative","negative"
"GSM1310653","negative","negative"
"GSM1310660","negative","negative"
"GSM1310665","negative","negative"
"GSM1310670","negative","negative"
"GSM1310672","negative","negative"
"GSM1310679","negative","negative"
"GSM1310690","negative","negative"
"GSM1310691","negative","negative"
"GSM1310692","negative","negative"
"GSM1310694","negative","negative"
"GSM1310701","negative","negative"
"GSM1310703","negative","negative"
"GSM1310705","negative","negative"
"GSM1310712","negative","negative"
"GSM1310715","negative","negative"
"GSM1310719","negative","negative"
"GSM1310720","negative","negative"
"GSM1310727","negative","negative"
"GSM1310730","negative","negative"
"GSM1310571","positive","positive"
"GSM1310572","positive","positive"
"GSM1310578","positive","positive"
"GSM1310580","positive","positive"
"GSM1310585","positive","positive"
"GSM1310590","positive","positive"
"GSM1310591","positive","positive"
"GSM1310592","positive","positive"
"GSM1310593","positive","positive"
"GSM1310594","positive","positive"
"GSM1310598","positive","positive"
"GSM1310600","positive","positive"
"GSM1310604","positive","positive"
"GSM1310614","positive","positive"
"GSM1310618","positive","positive"
"GSM1310622","positive","positive"
"GSM1310633","positive","positive"
"GSM1310634","positive","positive"
"GSM1310647","positive","positive"
"GSM1310648","positive","positive"
