"","real_label","predict_result"
"GSM1310651","negative","negative"
"GSM1310654","negative","negative"
"GSM1310657","negative","negative"
"GSM1310662","negative","negative"
"GSM1310663","negative","negative"
"GSM1310673","negative","positive"
"GSM1310675","negative","negative"
"GSM1310677","negative","negative"
"GSM1310683","negative","negative"
"GSM1310685","negative","negative"
"GSM1310688","negative","negative"
"GSM1310689","negative","negative"
"GSM1310706","negative","negative"
"GSM1310710","negative","negative"
"GSM1310713","negative","negative"
"GSM1310714","negative","negative"
"GSM1310716","negative","positive"
"GSM1310721","negative","negative"
"GSM1310726","negative","negative"
"GSM1310728","negative","positive"
"GSM1310570","positive","positive"
"GSM1310575","positive","positive"
"GSM1310576","positive","positive"
"GSM1310582","positive","negative"
"GSM1310595","positive","positive"
"GSM1310596","positive","positive"
"GSM1310597","positive","positive"
"GSM1310602","positive","positive"
"GSM1310612","positive","positive"
"GSM1310621","positive","positive"
"GSM1310623","positive","positive"
"GSM1310624","positive","positive"
"GSM1310625","positive","positive"
"GSM1310626","positive","positive"
"GSM1310630","positive","positive"
"GSM1310631","positive","negative"
"GSM1310637","positive","positive"
"GSM1310638","positive","negative"
"GSM1310646","positive","positive"
"GSM1310649","positive","positive"
